"id","apofasal","apoperi_id","apoperico","aporico","date","estival","fasal","invernal","invertido","lleno","luna_id","nuevo","otonyal","perico","primaveral","selecto","soe_id","year"
63,0,,0,0,"0059-09-23 11:11:32",0,1,0,0,0,2926,1,1,0,0,0,235,59
64,0,,0,0,"0059-09-23 11:11:32",0,1,0,0,0,106769,1,1,0,0,0,235,59
65,0,,0,0,"0059-12-21 04:24:18",0,1,1,0,0,2938,1,0,0,0,0,236,59
66,0,,0,0,"0059-12-21 04:24:18",0,1,1,0,0,106781,1,0,0,0,0,236,59
67,0,,0,0,"0062-06-22 16:42:38",1,1,0,0,0,3062,1,0,0,0,0,246,62
68,0,,0,0,"0062-06-22 16:42:38",1,1,0,0,0,106905,1,0,0,0,0,246,62
69,0,,0,0,"0064-03-20 05:51:43",0,1,0,0,1,3148,0,0,0,1,0,253,64
70,0,,0,0,"0064-03-20 05:51:43",0,1,0,0,1,106991,0,0,0,1,0,253,64
71,0,,0,0,"0068-03-20 05:16:18",0,1,0,0,0,3346,1,0,0,1,0,269,68
72,0,,0,0,"0068-03-20 05:16:18",0,1,0,0,0,107189,1,0,0,1,0,269,68
73,0,,0,0,"0072-03-20 04:17:58",0,1,0,0,1,3544,0,0,0,1,0,285,72
74,0,,0,0,"0072-03-20 04:17:58",0,1,0,0,1,107387,0,0,0,1,0,285,72
75,0,,0,0,"0073-06-22 08:31:02",1,1,0,0,0,3606,1,0,0,0,0,290,73
76,0,,0,0,"0073-06-22 08:31:02",1,1,0,0,0,107449,1,0,0,0,0,290,73
77,0,,0,0,"0074-12-20 19:46:25",0,1,1,0,1,3680,0,0,0,0,0,296,74
78,0,,0,0,"0074-12-20 19:46:25",0,1,1,0,1,107523,0,0,0,0,0,296,74
79,0,,0,0,"0077-06-22 07:42:35",1,1,0,0,1,3804,0,0,0,0,0,306,77
80,0,,0,0,"0077-06-22 07:42:35",1,1,0,0,1,107647,0,0,0,0,0,306,77
81,0,,0,0,"0078-09-23 01:45:14",0,1,0,0,0,3866,1,1,0,0,0,311,78
82,0,,0,0,"0078-09-23 01:45:14",0,1,0,0,0,107709,1,1,0,0,0,311,78
83,0,,0,0,"0078-12-20 19:17:53",0,1,1,0,0,3878,1,0,0,0,0,312,78
84,0,,0,0,"0078-12-20 19:17:53",0,1,1,0,0,107721,1,0,0,0,0,312,78
85,0,,0,0,"0082-09-23 01:04:55",0,1,0,0,1,4064,0,1,0,0,0,327,82
86,0,,0,0,"0082-09-23 01:04:55",0,1,0,0,1,107907,0,1,0,0,0,327,82
87,0,,0,0,"0083-03-20 20:22:42",0,1,0,0,1,4088,0,0,0,1,0,329,83
88,0,,0,0,"0083-03-20 20:22:42",0,1,0,0,1,107931,0,0,0,1,0,329,83
89,0,,0,0,"0087-03-20 19:35:53",0,1,0,0,0,4286,1,0,0,1,0,345,87
90,0,,0,0,"0087-03-20 19:35:53",0,1,0,0,0,108129,1,0,0,1,0,345,87
91,0,,0,0,"0092-06-21 22:44:16",1,1,0,0,0,4546,1,0,0,0,0,366,92
92,0,,0,0,"0092-06-21 22:44:16",1,1,0,0,0,108389,1,0,0,0,0,366,92
93,0,,0,0,"0093-12-20 10:36:48",0,1,1,0,1,4620,0,0,0,0,0,372,93
94,0,,0,0,"0093-12-20 10:36:48",0,1,1,0,1,108463,0,0,0,0,0,372,93
95,0,,0,0,"0096-06-21 21:57:26",1,1,0,0,1,4744,0,0,0,0,0,382,96
96,0,,0,0,"0096-06-21 21:57:26",1,1,0,0,1,108587,0,0,0,0,0,382,96
97,0,,0,0,"0097-09-22 16:18:53",0,1,0,0,0,4806,1,1,0,0,0,387,97
98,0,,0,0,"0097-09-22 16:18:53",0,1,0,0,0,108649,1,1,0,0,0,387,97
99,0,,0,0,"0097-12-20 09:55:08",0,1,1,0,0,4818,1,0,0,0,0,388,97
100,0,,0,0,"0097-12-20 09:55:08",0,1,1,0,0,108661,1,0,0,0,0,388,97
101,0,,0,0,"0098-03-20 11:29:28",0,1,0,0,0,4830,1,0,0,1,0,389,98
102,0,,0,0,"0098-03-20 11:29:28",0,1,0,0,0,108673,1,0,0,1,0,389,98
103,0,,0,0,"0101-09-23 15:46:18",0,1,0,0,1,5004,0,1,0,0,0,403,101
104,0,,0,0,"0101-09-23 15:46:18",0,1,0,0,1,108847,0,1,0,0,0,403,101
105,0,,0,0,"0102-03-21 10:55:14",0,1,0,0,1,5028,0,0,0,1,0,405,102
106,0,,0,0,"0102-03-21 10:55:14",0,1,0,0,1,108871,0,0,0,1,0,405,102
107,0,,0,0,"0106-03-21 10:09:16",0,1,0,0,0,5226,1,0,0,1,0,421,106
108,0,,0,0,"0106-03-21 10:09:16",0,1,0,0,0,109069,1,0,0,1,0,421,106
109,0,,0,0,"0111-06-23 12:48:20",1,1,0,0,0,5486,1,0,0,0,0,442,111
110,0,,0,0,"0111-06-23 12:48:20",1,1,0,0,0,109329,1,0,0,0,0,442,111
111,0,,0,0,"0112-09-23 07:36:03",0,1,0,0,1,5548,0,1,0,0,0,447,112
112,0,,0,0,"0112-09-23 07:36:03",0,1,0,0,1,109391,0,1,0,0,0,447,112
113,0,,0,0,"0112-12-21 01:24:49",0,1,1,0,1,5560,0,0,0,0,0,448,112
114,0,,0,0,"0112-12-21 01:24:49",0,1,1,0,1,109403,0,0,0,0,0,448,112
115,0,,0,0,"0115-06-23 12:05:39",1,1,0,0,1,5684,0,0,0,0,0,458,115
116,0,,0,0,"0115-06-23 12:05:39",1,1,0,0,1,109527,0,0,0,0,0,458,115
117,0,,0,0,"0116-09-23 06:53:12",0,1,0,0,0,5746,1,1,0,0,0,463,116
118,0,,0,0,"0116-09-23 06:53:12",0,1,0,0,0,109589,1,1,0,0,0,463,116
119,0,,0,0,"0116-12-21 00:43:27",0,1,1,0,0,5758,1,0,0,0,0,464,116
